page,text_chars,images,drawings,edge_score
1,0,5,1,14.315
2,0,3,4,11.854
3,0,5,2,11.54
4,0,3,3,13.654
5,0,3,2,13.812
6,0,3,2,11.784
7,0,5,1,8.739
8,0,9,2,20.837
9,0,15,2,16.185
10,0,3,2,18.118
11,0,11,2,21.818
12,0,5,2,11.139
13,0,13,2,20.194
14,0,3,2,11.565
15,0,3,3,11.593
16,0,3,2,11.506
17,0,3,2,12.48
18,0,3,2,12.949
19,0,3,1,12.772
20,0,5,2,11.84
21,0,3,2,12.87
22,0,5,2,16.265
23,0,3,2,20.124
24,0,7,2,17.908
25,0,3,3,13.157
26,0,3,4,13.008
27,0,5,2,15.115
28,0,5,2,21.164
29,0,7,2,20.037
30,0,3,2,11.642
31,0,5,2,12.422
32,0,5,4,12.124
33,0,3,4,12.804
34,0,5,2,12.205
35,0,3,2,13.012
36,0,5,2,12.452
37,0,3,2,10.262
38,0,3,2,8.004
39,0,3,2,12.374
40,0,3,4,12.217
41,0,3,3,12.311
42,0,3,2,13.725
43,0,7,2,21.111
44,0,5,2,20.318
45,0,3,2,20.657
46,0,5,2,22.071
47,0,7,3,19.905
48,0,5,2,20.814
49,0,7,2,18.629
50,0,3,2,16.504
51,0,3,2,12.322
52,0,5,2,13.84
53,0,3,2,11.634
54,0,5,2,13.737
55,0,3,2,12.077
56,0,3,2,12.911
57,0,3,2,12.723
58,0,5,2,13.06
59,0,5,2,13.781
60,0,5,2,14.138
61,0,3,2,12.624
62,0,3,2,14.542
63,0,3,2,12.05
64,0,5,2,9.296
65,0,3,2,18.755
66,0,3,2,13.801
67,0,3,4,11.569
68,0,5,2,8.261
69,0,3,2,11.66
70,0,3,2,10.068
71,0,3,2,9.829
72,0,3,4,11.972
73,0,3,2,12.136
74,0,5,2,12.705
75,0,5,3,22.318
76,0,3,2,11.896
77,0,3,6,12.402
78,0,7,2,17.989
79,0,3,2,13.097
80,0,3,2,12.482
81,0,3,4,12.938
82,0,3,4,13.156
83,0,3,2,13.524
84,0,3,2,11.455
85,0,3,2,9.958
